fecha_hora,prueba,prueba_completada,errores_totales,errores_pregunta_1,errores_pregunta_2,errores_pregunta_3,intentos_pregunta_1,intentos_pregunta_2,intentos_pregunta_3,tiempo_pregunta_1_s,tiempo_pregunta_2_s,tiempo_pregunta_3_s,tiempo_total_preguntas_s
2026-05-31 23:08:17,Prueba 1 - La Gran Pregunta,si,0,0,0,0,1,1,1,1.1,0.8,0.4,4.1
2026-06-02 00:43:47,Prueba 1 - La Gran Pregunta,si,0,0,0,0,1,1,1,2.6,0.8,4.1,12.4
2026-06-02 00:44:23,Prueba 1 - La Gran Pregunta,si,0,0,0,0,1,1,1,2.4,0.6,1.4,14.2
2026-06-02 00:53:03,Prueba 1 - La Gran Pregunta,si,1,1,0,0,2,1,1,10.4,0.6,0.6,14.4
2026-06-03 00:23:44,Prueba 1 - La Gran Pregunta,si,0,0,0,0,1,1,1,3.7,0.4,0.6,7.0
2026-06-06 01:42:10,Prueba 1 - La Gran Pregunta,si,1,1,0,0,2,1,1,10.1,1.1,0.5,14.3
2026-06-06 12:53:11,Prueba 1 - La Gran Pregunta,si,2,1,0,1,2,1,2,25.0,9.2,12.4,58.4
2026-06-06 22:52:50,Prueba 1 - La Gran Pregunta,si,2,1,0,1,2,1,2,13.3,5.7,13.7,63.1
2026-06-06 23:01:37,Prueba 1 - La Gran Pregunta,si,0,0,0,0,1,1,1,2.1,1.0,1.8,6.8
2026-06-06 23:05:57,Prueba 1 - La Gran Pregunta,si,1,0,0,1,1,1,2,9.9,4.1,13.0,32.2
2026-06-06 23:08:36,Prueba 1 - La Gran Pregunta,si,0,0,0,0,1,1,1,0.5,1.2,1.5,5.3
2026-06-07 00:29:55,Prueba 1 - La Gran Pregunta,si,0,0,0,0,1,1,1,7.7,2.6,1.9,23.2
2026-06-07 01:59:57,Prueba 1 - La Gran Pregunta,si,0,0,0,0,1,1,1,0.6,0.8,0.4,4.0
2026-06-07 02:00:28,Prueba 1 - La Gran Pregunta,si,0,0,0,0,1,1,1,2.4,1.3,1.5,10.5
2026-06-09 00:41:05,Prueba 1 - La Gran Pregunta,si,1,0,0,1,1,1,2,3.4,2.9,11.3,25.6
2026-06-09 01:05:46,Prueba 1 - La Gran Pregunta,si,1,0,1,0,1,2,1,2.6,24.4,2.4,35.0
2026-06-13 00:22:07,Prueba 1 - La Gran Pregunta,si,0,0,0,0,1,1,1,1.5,1.7,1.1,10.4
2026-06-13 00:28:37,Prueba 1 - La Gran Pregunta,si,0,0,0,0,1,1,1,0.8,0.2,0.3,3.0
2026-06-13 01:00:01,Prueba 1 - La Gran Pregunta,si,0,0,0,0,1,1,1,0.9,1.0,0.6,4.3
2026-06-13 01:03:06,Prueba 1 - La Gran Pregunta,si,0,0,0,0,1,1,1,0.9,0.2,0.3,3.4
2026-06-16 00:53:52,Prueba 1 - La Gran Pregunta,si,0,0,0,0,1,1,1,1.3,1.0,0.3,4.8
2026-06-16 00:54:32,Prueba 1 - La Gran Pregunta,si,1,1,0,0,2,1,1,9.9,0.5,0.7,12.7
